swifttrack-core  | 
swifttrack-core  |   .   ____          _            __ _ _
swifttrack-core  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
swifttrack-core  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
swifttrack-core  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
swifttrack-core  |   '  |____| .__|_| |_|_| |_\__, | / / / /
swifttrack-core  |  =========|_|==============|___/=/_/_/_/
swifttrack-core  |  :: Spring Boot ::                (v3.2.5)
swifttrack-core  | 
swifttrack-core  | 2026-02-25T17:46:54.486Z  INFO 1 --- [swifttrack-core] [           main] l.s.swifttrack.SwiftTrackApplication     : Starting SwiftTrackApplication using Java 17.0.18 with PID 1 (/app/app.jar started by root in /app)
swifttrack-core  | 2026-02-25T17:46:54.496Z DEBUG 1 --- [swifttrack-core] [           main] l.s.swifttrack.SwiftTrackApplication     : Running with Spring Boot v3.2.5, Spring v6.1.6
swifttrack-core  | 2026-02-25T17:46:54.498Z  INFO 1 --- [swifttrack-core] [           main] l.s.swifttrack.SwiftTrackApplication     : No active profile set, falling back to 1 default profile: "default"
swifttrack-core  | 2026-02-25T17:46:58.565Z  INFO 1 --- [swifttrack-core] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
swifttrack-core  | 2026-02-25T17:46:58.914Z  INFO 1 --- [swifttrack-core] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 323 ms. Found 1 JPA repository interface.
swifttrack-core  | 2026-02-25T17:46:59.829Z  INFO 1 --- [swifttrack-core] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=a1547afb-54a3-39cd-88a6-ca0ac7cb61ef
swifttrack-core  | 2026-02-25T17:47:00.227Z  WARN 1 --- [swifttrack-core] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [annotationActionEndpointMapping] is declared through a non-static factory method on that class; consider declaring it as static instead.
swifttrack-core  | 2026-02-25T17:47:00.406Z  INFO 1 --- [swifttrack-core] [           main] .w.s.a.s.AnnotationActionEndpointMapping : Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
